id;AugPool;Desc;Lv1;Lv2;Lv3;Lv1%;Lv2%;Lv3%;Cost
69;1;Defense+;3;0;0;8.0;0.0;0.0;1
73;1;Defense+;9;10;11;2.4;4.0;1.6;5
74;1;Defense+;18;19;20;2.4;4.0;1.6;10
75;1;Defense+;27;29;31;1.2;2.0;0.8;15
76;1;Defense+;36;38;40;1.2;2.0;0.8;20
59;1;Defense-;-6;0;0;4.0;0.0;0.0;-3
60;1;Defense-;-12;0;0;4.0;0.0;0.0;-5
94;1;Fire res+;1;2;0;0.6;2.4;0.0;2
89;1;Fire res-;-1;-2;0;0.4;1.4;0.0;-2
90;1;Fire res-;-3;0;0;1.2;0.0;0.0;-3
104;1;Water res+;1;2;0;0.6;2.4;0.0;2
99;1;Water res-;-1;-2;0;0.4;1.4;0.0;-2
100;1;Water res-;-3;0;0;1.2;0.0;0.0;-3
114;1;Thunder res+;1;2;0;0.6;2.4;0.0;2
109;1;Thunder res-;-1;-2;0;0.4;1.4;0.0;-2
110;1;Thunder res-;-3;0;0;1.2;0.0;0.0;-3
124;1;Ice res+;1;2;0;0.6;2.4;0.0;2
119;1;Ice res-;-1;-2;0;0.4;1.4;0.0;-2
120;1;Ice res-;-3;0;0;1.2;0.0;0.0;-3
134;1;Dragon res+;1;2;0;0.6;2.4;0.0;2
129;1;Dragon res-;-1;-2;0;0.4;1.4;0.0;-2
130;1;Dragon res-;-3;0;0;1.2;0.0;0.0;-3
144;1;Skill+;1;0;0;6.0;0.0;0.0;3
145;1;Skill+;1;0;0;4.0;0.0;0.0;6
146;1;Skill+;1;0;0;3.6;0.0;0.0;9
147;1;Skill+;1;0;0;2.8;0.0;0.0;12
148;1;Skill+;1;0;0;1.6;0.0;0.0;15
149;1;Skill-;-1;0;0;2.0;0.0;0.0;-10
139;1;Slot+;1;0;0;7.0;0.0;0.0;6
140;1;Slot+;2;0;0;2.5;0.0;0.0;12
141;1;Slot+;3;0;0;0.5;0.0;0.0;18
