id;AugPool;Desc;Lv1;Lv2;Lv3;Lv1%;Lv2%;Lv3%;Cost
69;3;Defense+;2;0;0;8.0;0.0;0.0;1
73;3;Defense+;7;8;9;2.4;4.0;1.6;5
74;3;Defense+;11;12;13;2.4;4.0;1.6;8
75;3;Defense+;18;19;20;1.2;2.0;0.8;12
76;3;Defense+;22;24;26;1.2;2.0;0.8;16
59;3;Defense-;-6;0;0;4.0;0.0;0.0;-3
60;3;Defense-;-12;0;0;4.0;0.0;0.0;-5
94;3;Fire res+;1;2;0;0.6;2.4;0.0;2
89;3;Fire res-;-1;-2;0;0.4;1.4;0.0;-2
90;3;Fire res-;-3;0;0;1.2;0.0;0.0;-3
104;3;Water res+;1;2;0;0.6;2.4;0.0;2
99;3;Water res-;-1;-2;0;0.4;1.4;0.0;-2
100;3;Water res-;-3;0;0;1.2;0.0;0.0;-3
114;3;Thunder res+;1;2;0;0.6;2.4;0.0;2
109;3;Thunder res-;-1;-2;0;0.4;1.4;0.0;-2
110;3;Thunder res-;-3;0;0;1.2;0.0;0.0;-3
124;3;Ice res+;1;2;0;0.6;2.4;0.0;2
119;3;Ice res-;-1;-2;0;0.4;1.4;0.0;-2
120;3;Ice res-;-3;0;0;1.2;0.0;0.0;-3
134;3;Dragon res+;1;2;0;0.6;2.4;0.0;2
129;3;Dragon res-;-1;-2;0;0.4;1.4;0.0;-2
130;3;Dragon res-;-3;0;0;1.2;0.0;0.0;-3
144;3;Skill+;1;0;0;6.0;0.0;0.0;3
145;3;Skill+;1;0;0;4.0;0.0;0.0;6
146;3;Skill+;1;0;0;3.6;0.0;0.0;9
147;3;Skill+;1;0;0;2.8;0.0;0.0;12
148;3;Skill+;1;0;0;1.6;0.0;0.0;15
149;3;Skill-;-1;0;0;2.0;0.0;0.0;-10
139;3;Slot+;1;0;0;7.0;0.0;0.0;6
140;3;Slot+;2;0;0;2.5;0.0;0.0;12
141;3;Slot+;3;0;0;0.5;0.0;0.0;18
