id;AugPool;Desc;Lv1;Lv2;Lv3;Lv1%;Lv2%;Lv3%;Cost
69;6;Defense+;1;0;0;8.0;0.0;0.0;1
73;6;Defense+;2;3;4;2.4;4.0;1.6;3
74;6;Defense+;4;5;6;2.4;4.0;1.6;5
75;6;Defense+;6;7;8;1.2;2.0;0.8;7
76;6;Defense+;8;10;12;1.2;2.0;0.8;10
59;6;Defense-;-6;0;0;4.0;0.0;0.0;-3
60;6;Defense-;-12;0;0;4.0;0.0;0.0;-5
94;6;Fire res+;1;2;0;0.6;2.4;0.0;2
89;6;Fire res-;-1;-2;0;0.4;1.4;0.0;-2
90;6;Fire res-;-3;0;0;1.2;0.0;0.0;-3
104;6;Water res+;1;2;0;0.6;2.4;0.0;2
99;6;Water res-;-1;-2;0;0.4;1.4;0.0;-2
100;6;Water res-;-3;0;0;1.2;0.0;0.0;-3
114;6;Thunder res+;1;2;0;0.6;2.4;0.0;2
109;6;Thunder res-;-1;-2;0;0.4;1.4;0.0;-2
110;6;Thunder res-;-3;0;0;1.2;0.0;0.0;-3
124;6;Ice res+;1;2;0;0.6;2.4;0.0;2
119;6;Ice res-;-1;-2;0;0.4;1.4;0.0;-2
120;6;Ice res-;-3;0;0;1.2;0.0;0.0;-3
134;6;Dragon res+;1;2;0;0.6;2.4;0.0;2
129;6;Dragon res-;-1;-2;0;0.4;1.4;0.0;-2
130;6;Dragon res-;-3;0;0;1.2;0.0;0.0;-3
144;6;Skill+;1;0;0;6.0;0.0;0.0;3
145;6;Skill+;1;0;0;4.0;0.0;0.0;6
146;6;Skill+;1;0;0;3.6;0.0;0.0;9
147;6;Skill+;1;0;0;2.8;0.0;0.0;12
148;6;Skill+;1;0;0;1.6;0.0;0.0;15
149;6;Skill-;-1;0;0;2.0;0.0;0.0;-10
139;6;Slot+;1;0;0;7.0;0.0;0.0;6
140;6;Slot+;2;0;0;2.5;0.0;0.0;12
141;6;Slot+;3;0;0;0.5;0.0;0.0;18
