id;AugPool;Desc;Lv1;Lv2;Lv3;Lv1%;Lv2%;Lv3%;Cost
69;13;Defense+;1;0;0;9.8;0.0;0.0;1
73;13;Defense+;2;3;4;2.9;4.9;2.0;3
74;13;Defense+;4;5;6;2.9;4.9;2.0;5
75;13;Defense+;6;7;8;1.5;2.5;1.0;7
76;13;Defense+;8;10;12;1.5;2.5;1.0;10
59;13;Defense-;-6;0;0;4.9;0.0;0.0;-3
60;13;Defense-;-12;0;0;4.9;0.0;0.0;-5
94;13;Fire res+;1;2;0;0.8;3.1;0.0;2
89;13;Fire res-;-1;-2;0;0.5;1.9;0.0;-2
90;13;Fire res-;-3;0;0;1.6;0.0;0.0;-3
104;13;Water res+;1;2;0;0.8;3.1;0.0;2
99;13;Water res-;-1;-2;0;0.5;1.9;0.0;-2
100;13;Water res-;-3;0;0;1.6;0.0;0.0;-3
114;13;Thunder res+;1;2;0;0.8;3.1;0.0;2
109;13;Thunder res-;-1;-2;0;0.5;1.9;0.0;-2
110;13;Thunder res-;-3;0;0;1.6;0.0;0.0;-3
124;13;Ice res+;1;2;0;0.8;3.1;0.0;2
119;13;Ice res-;-1;-2;0;0.5;1.9;0.0;-2
120;13;Ice res-;-3;0;0;1.6;0.0;0.0;-3
134;13;Dragon res+;1;2;0;0.8;3.1;0.0;2
129;13;Dragon res-;-1;-2;0;0.5;1.9;0.0;-2
130;13;Dragon res-;-3;0;0;1.6;0.0;0.0;-3
139;13;Slot+;1;0;0;6.0;0.0;0.0;6
140;13;Slot+;2;0;0;4.2;0.0;0.0;12
141;13;Slot+;3;0;0;1.8;0.0;0.0;18
