id;AugPool;Desc;Lv1;Lv2;Lv3;Lv1%;Lv2%;Lv3%;Cost
69;2;Defense+;2;0;0;8.0;0.0;0.0;1
73;2;Defense+;6;7;8;2.4;4.0;1.6;5
74;2;Defense+;14;15;16;2.4;4.0;1.6;10
75;2;Defense+;20;22;24;1.2;2.0;0.8;14
76;2;Defense+;28;30;32;1.2;2.0;0.8;18
59;2;Defense-;-6;0;0;4.0;0.0;0.0;-3
60;2;Defense-;-12;0;0;4.0;0.0;0.0;-5
94;2;Fire res+;1;2;0;0.6;2.4;0.0;2
89;2;Fire res-;-1;-2;0;0.4;1.4;0.0;-2
90;2;Fire res-;-3;0;0;1.2;0.0;0.0;-3
104;2;Water res+;1;2;0;0.6;2.4;0.0;2
99;2;Water res-;-1;-2;0;0.4;1.4;0.0;-2
100;2;Water res-;-3;0;0;1.2;0.0;0.0;-3
114;2;Thunder res+;1;2;0;0.6;2.4;0.0;2
109;2;Thunder res-;-1;-2;0;0.4;1.4;0.0;-2
110;2;Thunder res-;-3;0;0;1.2;0.0;0.0;-3
124;2;Ice res+;1;2;0;0.6;2.4;0.0;2
119;2;Ice res-;-1;-2;0;0.4;1.4;0.0;-2
120;2;Ice res-;-3;0;0;1.2;0.0;0.0;-3
134;2;Dragon res+;1;2;0;0.6;2.4;0.0;2
129;2;Dragon res-;-1;-2;0;0.4;1.4;0.0;-2
130;2;Dragon res-;-3;0;0;1.2;0.0;0.0;-3
144;2;Skill+;1;0;0;6.0;0.0;0.0;3
145;2;Skill+;1;0;0;4.0;0.0;0.0;6
146;2;Skill+;1;0;0;3.6;0.0;0.0;9
147;2;Skill+;1;0;0;2.8;0.0;0.0;12
148;2;Skill+;1;0;0;1.6;0.0;0.0;15
149;2;Skill-;-1;0;0;2.0;0.0;0.0;-10
139;2;Slot+;1;0;0;7.0;0.0;0.0;6
140;2;Slot+;2;0;0;2.5;0.0;0.0;12
141;2;Slot+;3;0;0;0.5;0.0;0.0;18
